model_name,architecture,activation,optimizer,model_size_mb,best_map50,best_map50_95,best_precision,best_recall,best_epoch,epochs,last_box_loss,last_cls_loss,last_dfl_loss
implementation-t-mbconv_selu_LION,implementation-t-mbconv,selu,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_selu_SGD,implementation-t-mbconv,selu,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
implementation-t-mbconv_silu_Adam,implementation-t-mbconv,silu,Adam,37.3975,0.0311,0.0069,0.0506,0.1654,2,7,4.7527,3.0942,3.3333
implementation-t-mbconv_silu_Adam2,implementation-t-mbconv,silu,Adam,6.7209,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_silu_LION,implementation-t-mbconv,silu,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_silu_SGD,implementation-t-mbconv,silu,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
implementation-t-mbconv_sinlu_Adam,implementation-t-mbconv,sinlu,Adam,6.7209,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_sinlu_LION,implementation-t-mbconv,sinlu,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_sinlu_SGD,implementation-t-mbconv,sinlu,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
implementation-t-mbconv_h_swish_Adam,implementation-t-mbconv_h,swish,Adam,6.7209,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_h_swish_LION,implementation-t-mbconv_h,swish,LION,6.7209,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_h_swish_SGD,implementation-t-mbconv_h,swish,SGD,6.7209,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
implementation-t-mbconv_sinlu_pozitive_Adam,implementation-t-mbconv_sinlu,pozitive,Adam,6.721,0.8522,0.5472,0.812,0.8235,92,100,1.6775,1.1909,1.5173
implementation-t-mbconv_sinlu_pozitive_LION2,implementation-t-mbconv_sinlu,pozitive,LION,6.721,0.68,0.3203,0.67,0.6915,81,100,2.5077,1.9417,1.5202
implementation-t-mbconv_sinlu_pozitive_SGD,implementation-t-mbconv_sinlu,pozitive,SGD,6.721,0.8681,0.577,0.8165,0.8679,89,100,1.7037,1.2521,1.6062
yolov9-t_elu_Adam,yolov9-t,elu,Adam,5.7934,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_elu_LION,yolov9-t,elu,LION,5.7934,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_elu_SGD,yolov9-t,elu,SGD,5.7934,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
yolov9-t_selu_Adam,yolov9-t,selu,Adam,5.7934,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_selu_LION,yolov9-t,selu,LION,5.7934,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_selu_SGD,yolov9-t,selu,SGD,5.7934,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
yolov9-t_silu_Adam,yolov9-t,silu,Adam,32.5299,0.7405,0.3452,0.5411,0.7556,26,29,2.766,2.1766,2.0413
yolov9-t_silu_Adam2,yolov9-t,silu,Adam,5.7934,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_silu_LION,yolov9-t,silu,LION,5.7934,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_silu_SGD,yolov9-t,silu,SGD,5.7934,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
yolov9-t_sinlu_Adam,yolov9-t,sinlu,Adam,5.7934,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_sinlu_LION,yolov9-t,sinlu,LION,5.7934,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_sinlu_SGD,yolov9-t,sinlu,SGD,5.7934,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
yolov9-t_h_swish_Adam,yolov9-t_h,swish,Adam,5.7935,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_h_swish_LION,yolov9-t_h,swish,LION,5.7935,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_h_swish_SGD,yolov9-t_h,swish,SGD,5.7935,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
yolov9-t_sinlu_pozitive_Adam,yolov9-t_sinlu,pozitive,Adam,5.7935,0.8652,0.578,0.8165,0.8704,81,100,1.6523,1.1397,1.4939
yolov9-t_sinlu_pozitive_LION,yolov9-t_sinlu,pozitive,LION,5.7935,0.7153,0.4133,0.7214,0.689,76,100,2.067,1.5746,1.4574
yolov9-t_sinlu_pozitive_SGD,yolov9-t_sinlu,pozitive,SGD,5.7935,0.8683,0.5835,0.8518,0.8349,88,100,1.5713,1.169,1.4949
